days,RKI Nowcast 4 days,RKI Nowcast 7 days,Projected 7 days
2020-03-04,308.5,NaN,NaN
2020-03-05,362.5,NaN,NaN
2020-03-06,459.0,454.14285714285717,NaN
2020-03-07,589.0,579.1428571428571,NaN
2020-03-08,762.25,789.1428571428571,NaN
2020-03-09,1092.25,1069.2857142857142,NaN
2020-03-10,1487.0,1413.857142857143,NaN
2020-03-11,1988.0,1802.7142857142858,3163.423096828354
2020-03-12,2503.75,2262.714285714286,4144.27806020271
2020-03-13,3037.75,2702.4285714285716,5064.540832075387
2020-03-14,3447.0,3122.5714285714284,5681.56467044011
2020-03-15,3752.5,3654.285714285714,6058.573039458038
2020-03-16,4332.5,4035.714285714286,6534.426029928184
2020-03-17,4589.75,4367.0,6512.277867633725
2020-03-18,4901.0,4569.857142857143,6428.521404576677
2020-03-19,5036.5,4754.571428571428,6172.5538707841
2020-03-20,4963.25,4801.857142857143,5876.931027280487
2020-03-21,4787.75,4712.0,5536.358310169254
2020-03-22,4356.25,4637.571428571428,5028.3418224518555
2020-03-23,4451.0,4509.0,4692.175572326238
2020-03-24,4160.0,4426.428571428572,4320.056967437395
2020-03-25,4244.0,4380.857142857143,4160.690295920137
2020-03-26,4457.0,4276.0,4161.284462019759
2020-03-27,4330.5,4235.857142857143,4037.4471510408016
2020-03-28,4309.75,4182.714285714285,4052.1779291005123
2020-03-29,3929.75,4095.285714285714,3999.9363825770774
2020-03-30,3951.25,4088.8571428571427,3890.8316941997837
2020-03-31,3832.5,4073.4285714285716,3945.8188777617534
2020-04-01,3959.75,4069.8571428571427,3953.6723170227087
2020-04-02,4259.5,4062.4285714285716,3993.3983284839524
2020-04-03,4273.0,3964.4285714285716,4039.7413873566716
2020-04-04,4092.0,3906.1428571428573,3878.8199383238743
2020-04-05,3637.0,3783.714285714286,3776.808120579005
2020-04-06,3450.5,3709.5714285714284,3566.681425487342
2020-04-07,3215.0,3565.4285714285716,3434.2967315530727
2020-04-08,3261.5,3430.285714285714,3277.1177286733787
2020-04-09,3426.75,3168.1428571428573,3130.9288152932777
2020-04-10,3195.75,3036.5714285714284,2809.7094149981535
2020-04-11,2914.25,2931.5714285714284,2631.297750698649
2020-04-12,2527.75,2686.5714285714284,2500.231797025894
2020-04-13,2149.0,2486.285714285714,2179.0358142618798
2020-04-14,2021.75,2311.0,2026.217302029992
2020-04-15,1991.75,2147.1428571428573,1865.4601176590845
2020-04-16,2054.0,2092.5714285714284,1738.1765253491724
2020-04-17,2156.25,1993.7142857142858,1787.8015939810255
2020-04-18,2052.25,1908.142857142857,1730.591929389009
